الاسم,الماده الفعاله,دواعي الاستخدام,الجرعة,تحذيرات
فينوغريل للأطفال - Phenergan,بروميثازين,مساعد في علاج الحساسية وحمى القش للأطفال,ملعقة صغيرة مرتين يوميًا,قد يسبب النعاس.
اوبكس للأطفال - Opex,أموكسيسيلين,مضاد حيوي لعلاج الالتهابات لدى الأطفال,حسب توجيه الطبيب,يجب استكمال الدورة العلاجية المقررة حتى لو تحسنت الأعراض.
أبيدال - Apidal,ديسلوراتادين,مضاد للحساسية للأطفال,ملعقة صغيرة يوميًا,قد يسبب الدوار عند بعض الأطفال.
كاربوكسيد للأطفال - Carboxid,كاربوبلاتين,مضاد للبكتيريا للأطفال,حسب توجيه الطبيب,يجب استخدامه بحذر للأطفال الذين يعانون من مشاكل الكبد.
رواميد للأطفال - Roamid,إندوميثاسين,مضاد التهاب غير ستيرويدي للأطفال,حسب توجيه الطبيب,يجب عدم استخدامه لفترات طويلة.
فيدال للأطفال - Vidal Kids,كلوريد الصوديوم,مكمل غذائي للأطفال لتعويض الأملاح,حسب توجيه الطبيب,يجب استشارة الطبيب قبل استخدامه إذا كان الطفل يعاني من أمراض الكلى.
أمبيسيلين للأطفال - Ampicillin Kids,أمبيسيلين,مضاد حيوي لعلاج الالتهابات لدى الأطفال,حسب توجيه الطبيب,يجب استكمال العلاج بالكامل حتى لو تحسنت الأعراض.
ميداميد للأطفال - MediMed,ميتوكلوبراميد,علاج الغثيان والقيء للأطفال,ملعقة صغيرة حسب توجيه الطبيب,قد يسبب تفاعلات مع بعض الأدوية.
نيرفول للأطفال - Nerfol,تاموكسيفين,مساعد في علاج الصداع النصفي للأطفال,حسب وزن الطفل حسب توجيه الطبيب,يجب تجنب استخدامه للأطفال الذين يعانون من مشاكل في الكبد.
لوكاست - Lukast,مونتيلوكاست,علاج الربو والتهاب الأنف التحسسي للأطفال,ملعقة صغيرة يوميًا قبل النوم,يجب استشارة الطبيب إذا استمر السعال.
سيكلوفين - Cyclofen,ديكلوفيناك,مضاد التهاب غير ستيرويدي للأطفال,حسب وزن الطفل حسب توجيه الطبيب,قد يسبب اضطرابات في المعدة.
فيروجلوبين للأطفال - Ferroglobin,حديد,مكمل غذائي لعلاج فقر الدم للأطفال,ملعقة صغيرة يوميًا,يجب مراقبة الجرعة لتجنب التسمم بالحديد.
إنفنتو للأطفال - Infanto,فيتامينات ومعادن,مكمل غذائي لدعم نمو الطفل,حسب توصيات الطبيب,يجب مراقبة جرعة الفيتامينات لتجنب التسمم.
كافيكير للأطفال - Caficare,كافيين,مساعد في علاج ضعف التركيز والكسل للأطفال,ملعقة صغيرة حسب توجيه الطبيب,يجب تجنب استخدامه للأطفال الذين يعانون من مشاكل في النوم.
سيفوكسيم للأطفال - Cefoxime,سيفوكسيم,مضاد حيوي لعلاج الالتهابات لدى الأطفال,حسب توجيه الطبيب,يجب إتمام دورة العلاج حتى لو تحسنت الأعراض.
ميتوكلوبراميد للأطفال - Metoclopramide,ميتوكلوبراميد,مساعد في علاج الغثيان والقيء للأطفال,ملعقة صغيرة حسب توجيه الطبيب,قد يسبب تفاعلات مع أدوية أخرى.
إشنسا - Echinacea,إشنسا,مقوي للمناعة للأطفال والكبار,أسبوعيًا حسب توجيهات الطبيب,قد يسبب تفاعلات مع بعض الأدوية المناعية.
فيتامين C - Vitamin C,فيتامين C,دعم المناعة والوقاية من نزلات البرد,500-1000 ملغ يوميًا,جرعة زائدة قد تسبب مشاكل في المعدة.
الزنك - Zinc,زنك,داعم للجهاز المناعي وتحسين صحة الجلد,10-15 ملغ يوميًا,يجب تجنب الجرعات الزائدة لأنها قد تؤثر على امتصاص النحاس.
سيميثيكون - Simethicone,سيميثيكون,علاج الغازات والانتفاخ,1-2 كبسولة بعد الوجبات,قد يسبب بعض الاضطرابات المعوية.
مستخلص الصبار - Aloe Vera,مستخلص الصبار,مفيد للمعدة وعلاج الحموضة,5-10 مل يوميًا,قد يسبب تهيجًا في المعدة لبعض الأشخاص.
أنتا سيد - Antacid,هيدروكسيد المغنيسيوم,مضاد للحموضة وعلاج الحرقان,1-2 قرص بعد الوجبات,يجب تجنب الإفراط في تناول هذه الأدوية.
إنزيمات الهضم - Digestive Enzymes,إنزيمات هضمية,تحسين عملية الهضم,1-2 كبسولة مع الوجبات,قد يتسبب في تفاعلات مع بعض الأدوية الأخرى.
مستخلص الشاي الأخضر - Green Tea Extract,مستخلص الشاي الأخضر,مضاد للأكسدة وتحسين التركيز,300-500 ملغ يوميًا,قد يسبب اضطرابات في المعدة عند بعض الأشخاص.
سبراي سولفاجا - Sulfaga Spray,سولفاجا,مضاد للبكتيريا لعلاج التهابات الحلق,حسب توجيهات الطبيب,يجب عدم استخدامه لفترات طويلة.
غسول الفم كلورهيكسيدين - Chlorhexidine Mouthwash,كلورهيكسيدين,مضاد للبكتيريا في الفم,1-2 مل مع الماء مرتين يوميًا,قد يسبب تهيجًا في الفم إذا استخدم لفترات طويلة.
ستربسلز - Strepsils,أملاح ديكلوكسيد,مسكن للحلق وعلاج التهابات الحلق,1-2 حبة حسب الحاجة,قد يسبب بعض التفاعلات في حالة الإفراط في تناولها.
كلاريناز - Clarinas,لوراتادين,مضاد للحساسية والعطس,ملعقة صغيرة يوميًا,قد يسبب جفاف في الفم في بعض الحالات.
لورينيز - Lorienz,لورينيز,مضاد للهستامين لعلاج الحساسية الموسمية,ملعقة صغيرة مرة يوميًا,يجب تجنب الاستخدام لفترات طويلة دون استشارة الطبيب.
أفيل - Avil,كلورفينيرامين,مضاد للحساسية وعلاج حمى القش,1 ملعقة صغيرة مرتين يوميًا,قد يسبب النعاس عند بعض الأطفال.
دوفاستون - Dovaston,ديكستروميثورفان,علاج السعال الجاف,ملعقة صغيرة كل 4-6 ساعات,قد يسبب النعاس أو الدوار.
فيكس - Vicks,كامفور,مرهم مسكن لاحتقان الأنف وآلام الصدر,وضع طبقة رقيقة على الصدر أو الأنف,لا تستخدم في حالة الجروح أو التهيج الجلدي.
سانسوتيك - Sansotec,ديكستروميثورفان,علاج السعال الجاف والتهاب الحلق,ملعقة صغيرة كل 4-6 ساعات,قد يسبب تفاعلات مع أدوية أخرى.
ميلاتونين - Melatonin,ميلاتونين,مساعد على النوم والتقليل من الأرق,1-3 ملغ قبل النوم,قد يسبب النعاس في النهار إذا تم تناوله في وقت مبكر جدًا.
فاليوم - Valium,ديازيبام,مساعد في علاج الأرق والقلق,حسب توجيه الطبيب,يجب تجنب الاستخدام لفترات طويلة لتجنب التعود.
جنسنغ - Ginseng,جنسنغ,مكمل غذائي لتحسين النشاط والتركيز,200-400 ملغ يوميًا,قد يسبب التهيج في بعض الحالات.
مكملات الكافيين - Caffeine Supplements,كافيين,زيادة التركيز واليقظة,حسب التوجيهات- عادة 100-200 ملغ يوميًا,قد يسبب القلق أو الأرق إذا تم الإفراط في تناوله.
ريتول - Retinol,ريتينول,تحسين صحة البشرة وتقليل التجاعيد,ضعه على البشرة مرة يوميًا قبل النوم,قد يسبب جفاف أو تهيج في البشرة في البداية.
حمض الهيالورونيك - Hyaluronic Acid,حمض الهيالورونيك,ترطيب وتحسين مرونة البشرة,2-3 قطرات يوميًا على البشرة,يجب استخدامه مع كريم مرطب لمنع جفاف البشرة.
زيت الأركان - Argan Oil,زيت الأركان,ترطيب الشعر والبشرة,ضعه على الشعر أو البشرة حسب الحاجة,تجنب استخدامه في حالة الحساسية من المكسرات.
بنزيل بيروكسايد - Benzoyl Peroxide,بنزيل بيروكسايد,علاج حب الشباب وتنظيف المسام,ضعه على المنطقة المصابة مرة أو مرتين يوميًا,قد يسبب جفاف البشرة.
أحماض الألفا هيدروكسي - Alpha Hydroxy Acids,أحماض الفاكهة,مقشر للبشرة وتحسين ملمسها,ضعه على الوجه 2-3 مرات أسبوعيًا,قد يسبب حساسية للبشرة في البداية.
ميثيمازول - Methimazole,ميثيمازول,علاج فرط نشاط الغدة الدرقية,حسب توجيه الطبيب,يجب متابعة وظائف الكبد والكلى أثناء العلاج.
ميبيفرين - Mebeverine,ميبيفرين,مضاد للتقلصات المعوية,1-2 كبسولة قبل الوجبات,قد يسبب جفاف في الفم.
دولوكستين - Duloxetine,دولوكستين,علاج القولون العصبي والاكتئاب,حسب توجيه الطبيب,يجب تجنب التوقف المفاجئ عن تناول الدواء.
جل الانتعاش - Recovery Gel,مستخلص الأعشاب,لتخفيف آلام العضلات بعد التمرين,يستخدم موضعيًا على العضلات المصابة,لا يستخدم على الجروح المفتوحة أو الجلد المتشقق.
الجل المهدئ - Cooling Gel,منتجات طبيعية,لتخفيف آلام العضلات والالتهابات,تطبيقه مباشرة على العضلات المتوترة,قد يسبب تهيج في الجلد في بعض الحالات.
أوميغا 3 - Omega 3,أحماض دهنية أوميغا 3,تحسين صحة القلب والعقل,1000-2000 ملغ يوميًا,قد يسبب رائحة غير مرغوبة للفم أو اضطرابات هضمية في البداية.
قطرات العين - Eye Drops,بولي إيثيلين جليكول,ترطيب العين وعلاج الجفاف,1-2 نقطة في كل عين حسب الحاجة,قد يسبب تهيجًا طفيفًا في البداية.
فيتامين A - Vitamin A,فيتامين A,صحة العين وتحسين البشرة,5000 وحدة دولية يوميًا,يجب عدم تجاوز الجرعة الموصى بها لتجنب التسمم بفيتامين A.
أوميغا 3 - Omega 3,زيت السمك,تحسين وظيفة الدماغ والذاكرة,1-2 كبسولة يوميًا,قد يسبب اضطرابات هضمية في البداية.
سولبادين - Solpadeine,كودايين,مخفف للألم ومسكن,قرص كل 4-6 ساعات حسب الحاجة,قد يسبب إدمانًا إذا استخدم لفترات طويلة.
كلورهكسيدين,كلورهكسيدين,غسول فم مضاد للبكتيريا,يتم استخدامه مرتين يومياً بعد الوجبات,لا يجب ابتلاعه
بيترتيدين,بيترتيدين,غسول فم يحتوي على اليود كمطهر,يستخدم كغسول للفم,يحفظ بعيداً عن العينين
ميثيناميد,ميثيناميد,مطهر للفم مضاد للبكتيريا والفطريات,يتم استخدامه 3 مرات يومياً,لا يستخدم في حالة وجود حساسية لليود
غسول الفم أستافين,زيوت عطرية,غسول يحتوي على الزيوت العطرية ويطهر الفم,يتم استخدامه بعد تنظيف الأسنان,يجب عدم استخدامه للأطفال تحت سن 6 سنوات
غسول الفم دنتا سيل,فلوريد,غسول يحتوي على الفلوريد ويعزز صحة الفم,يستخدم مرة يومياً,يجب عدم بلعه
برونكسيل,زعتر,أقراص استحلاب تحتوي على الزعتر لتخفيف التهابات الحلق,أخذ قرص كل 4 ساعات حسب الحاجة,ممكن أن يسبب حساسية عند بعض الأشخاص
هيلوروبين,نعناع,أقراص استحلاب تحتوي على النعناع للتخفيف من ألم الحلق,أخذ قرص كل 4 ساعات,تجنب الاستخدام المتكرر للمرضى الذين يعانون من حساسية للنعناع
ستربسلز,أميلوم ونعناع,أقراص استحلاب تحتوي على مكونات مسكنة مثل الأميلوم والنعناع,تستخدم عند الحاجة لتخفيف الألم,يمكن أن تسبب تهيج في الفم عند الاستخدام المفرط
جرينتو,أنزيمات,أقراص استحلاب تحتوي على الأنزيمات التي تساعد في تسريع الشفاء,تستخدم كل 6 ساعات,قد تسبب تفاعلات مع بعض الأدوية
كورسيدين,مكونات مضادة للبكتيريا,أقراص استحلاب تحتوي على مكونات مضادة للبكتيريا,تستخدم حسب الحاجة لتخفيف أعراض الحلق,يجب عدم استخدامها للأطفال دون 6 سنوات
ليدوكائين,ليدوكائين,بخاخ مخدر لتخفيف الألم في الحلق,يستخدم 3-4 مرات يومياً,لا يجب استخدامه للأطفال تحت سن 2 سنوات
فينول,فينول,بخاخ يحتوي على فينول لتسكين آلام الحلق,يستخدم حسب الحاجة لتخفيف الألم,لا يجب استخدامه في حالة وجود حساسية للفينول
فلوكوريدين,فلوكوريدين,بخاخ مضاد للبكتيريا والفطريات لتقليل الالتهاب,يستخدم مرة أو مرتين يومياً حسب الحالة,تجنب الاستخدام المستمر لفترات طويلة
ديكلاك,ديكلوفيناك,بخاخ مضاد للالتهاب ومسكن للألم,يستخدم حسب الحاجة لتخفيف الألم,يجب عدم استخدامه لفترات طويلة دون استشارة الطبيب
جافيسكون,مكونات معززة,بخاخ لتهدئة التهابات الحلق وتخفيف الألم,يستخدم حسب الحاجة لتخفيف أعراض الحلق,يجب تجنب استخدامه في حالة وجود حساسية للمكونات
أموكسيسيلين,أموكسيسيلين,مضاد حيوي يستخدم لعلاج التهابات الحلق البكتيرية,يتم استخدامه حسب وصفة الطبيب,يجب استكمال الجرعة حتى لو شعر المريض بالتحسن
بنسلين,بنسلين,يستخدم لعلاج التهاب الحلق الناتج عن بكتيريا,يتم استخدامه حسب وصفة الطبيب,قد يسبب حساسية لبعض الأشخاص
سيفالوسبورين,سيفالوسبورين,مضاد حيوي يستخدم في حالة التهاب اللوزتين,يتم استخدامه حسب وصفة الطبيب,قد يسبب اضطرابات في المعدة
كليندامايسين,كليندامايسين,مضاد حيوي يستخدم لعلاج التهابات الحلق البكتيرية,يتم استخدامه حسب وصفة الطبيب,قد يسبب إسهالاً في بعض الحالات
أزيثروميسين,أزيثروميسين,مضاد حيوي يستخدم لعلاج العدوى التنفسية,يتم استخدامه حسب وصفة الطبيب,قد يسبب آثار جانبية مثل الغثيان أو الدوار
هيدروكورتيزون,هيدروكورتيزون,مرهم مضاد للالتهاب يستخدم لعلاج التهاب الفم,يتم وضعه بشكل موضعي على المنطقة المصابة,قد يسبب تفاعلات مع بعض الأدوية
بانثينول,بانثينول,جل مرطب وملطف يساعد في التئام الجروح,يتم استخدامه بشكل موضعي مرتين يومياً,لا يُستخدم إذا كانت هناك حساسية لأي من مكوناته
ألوفيرا جل,ألوفيرا,يساعد في تهدئة التهاب الفم والتئام الجروح,يستخدم مرتين يومياً حسب الحاجة,يجب تجنب استخدامه في حالة الحساسية للألوفيرا
ميثيل ساليسيلات,ميثيل ساليسيلات,مرهم مضاد للالتهاب,يتم وضعه على المنطقة المصابة 3 مرات يومياً,قد يسبب تهيجاً عند بعض الأشخاص
بيكسول,بيكسول,يستخدم لتخفيف التهابات الفم والحلق,يتم استخدامه مرتين يومياً حسب الحاجة,يجب تجنب الاستخدام الطويل بدون استشارة الطبيب
نيستاتين,نيستاتين,مضاد للفطريات لعلاج القلاع الفموي,يتم استخدامه حسب وصفة الطبيب,لا يُستخدم في حالة الحساسية للفطريات
فلوكونازول,فلوكونازول,مضاد للفطريات يستخدم لعلاج التهابات الفم الفطرية,يتم استخدامه مرة يومياً حسب وصفة الطبيب,قد يسبب آثار جانبية مثل الصداع أو الغثيان
ميكونازول,ميكونازول,يستخدم في حالات القلاع الفموي,يتم استخدامه 3 مرات يومياً,يجب عدم استخدامه للأطفال تحت 6 سنوات
تيربينافين,تيربينافين,مضاد للفطريات يستخدم لعلاج التهابات الفم,يتم استخدامه حسب وصفة الطبيب,قد يسبب اضطرابات في المعدة
إيتراكونازول,إيتراكونازول,مضاد للفطريات يستخدم في حالة العدوى الفطرية في الفم,يتم استخدامه حسب وصفة الطبيب,قد يسبب آثار جانبية في الكبد
فيوسيدين,Fusidic acid,مضاد حيوي موضعي يستخدم في علاج الجروح السطحية ومنع العدوى البكتيرية,يتم استخدامه على الجروح مرة إلى مرتين يومياً,لا يُستخدم على الجروح العميقة أو في حالة الحساسية للمكون الفعّال
بيتادين,Povidone-Iodine,مطهر موضعي يستخدم لتطهير الجروح السطحية والحروق الصغيرة,يتم تطبيقه على الجرح مباشرة بعد التنظيف,يجب تجنب استخدامه في حالات الحساسية لليود
ميبو,مستخلصات طبيعية,يساعد في تسريع التئام الجروح السطحية والأنسجة المصابة,يُستخدم مرتين إلى ثلاث مرات يومياً حسب الحاجة,لا يُستخدم في حالة وجود حساسية للمكونات
ألوفيرا,Aloe Vera,يستخدم لتهدئة الجلد المتهيج ويحسن عملية الشفاء,يتم تطبيقه بشكل موضعي على الجرح مرتين يومياً,لا يُستخدم في حالة الحساسية للألوفيرا
بانديرم,مكونات طبيعية,يستخدم لتعقيم الجروح وحمايتها من العدوى,يتم وضعه على الجرح مباشرة,يجب تجنب وضعه على الجروح العميقة أو المفتوحة بشكل واسع
سولكوسيريل,Solcoseryl,يساعد في تسريع شفاء الحروق السطحية وتجديد الأنسجة,يُطبق طبقة رقيقة على المنطقة المتضررة مرتين يومياً,يجب استشارة الطبيب في حالة الحروق الشديدة أو العميقة
ديرمو-فرش,Dermofresh,يستخدم لتهدئة الحروق السطحية وتخفيف الألم الناجم عنها,يتم تطبيقه مباشرة على الحروق بعد تبريد المنطقة,لا يُستخدم في حالات الحروق من الدرجة الثالثة
ليدوكائين,Lidocaine,مخدر موضعي لتخفيف الألم الناتج عن الحروق أو الجروح السطحية,يتم رش أو تطبيقه مرتين يومياً حسب الحاجة,تجنب استخدامه على الجروح المفتوحة أو في حالات الحساسية للمخدرات
نيفرم,Nevarm,مرهم يستخدم في علاج الحروق السطحية ويساعد في تجديد الأنسجة,يُستخدم 3-4 مرات يومياً على الحروق السطحية,لا يجب استخدامه على الجروح المفتوحة أو الحروق الشديدة
بانثينول,Panthenol,مرهم يساعد في ترطيب الجلد المتضرر ويدعم شفاء الحروق,يتم استخدامه على الجلد المصاب مرتين يومياً,لا يُستخدم في حالة وجود حساسية للبانثينول
إريثروميسين,Erythromycin,مضاد حيوي موضعي يستخدم لعلاج الجروح العميقة أو العدوى البكتيرية,يتم وضعه على الجرح مرتين يومياً,يجب تجنب استخدامه في حالة الحساسية للمضادات الحيوية
ميترونيدازول,Metronidazole,مضاد للبكتيريا والفطريات يستخدم في الجروح العميقة,يتم تطبيقه على الجرح مرتين يومياً حسب الحاجة,قد يسبب تهيجاً في بعض الحالات
تيروسورين,Tyrasorine,مضاد للبكتيريا يُستخدم في الجروح العميقة لتقليل التلوث البكتيري,يتم استخدامه مرتين يومياً على الجروح العميقة,يجب تجنب الاستخدام في حالة وجود تفاعلات مع أدوية أخرى
شريط لاصق طبي,Sterile Surgical Tape,يتم استخدامه لإغلاق الجروح الكبيرة بعد العمليات الجراحية أو الجروح العميقة,يتم تطبيقه بعد تنظيف الجرح مباشرة,يجب التأكد من أن الجرح جاف قبل تطبيق الشريط
سيلفاديازين,Silver sulfadiazine,يستخدم لعلاج الجروح الكبيرة والحروق التي تحتاج إلى عناية مكثفة,يُوضع طبقة رقيقة على الجروح مرتين يومياً,يجب تجنب استخدامه في حالة وجود حساسية للفضة أو المركبات الكبريتية
جِل هيدروكورتيسون,Hydrocortisone Gel,يُستخدم لتقليل الالتهاب وتخفيف الألم بعد العمليات الجراحية,يتم تطبيقه بشكل موضعي على الجروح 2-3 مرات يومياً,يجب تجنب الاستخدام المطول على الجروح المفتوحة
بانديد,Band-Aid,لاصق طبي يستخدم لتغطية الجروح بعد العمليات الجراحية أو الجروح السطحية,يتم تطبيقه مباشرة بعد تنظيف الجرح,يجب تغيير اللاصق يومياً أو عندما يصبح مبللاً
ديكساميثازون,Dexamethasone,كريم مضاد للالتهاب يستخدم بعد العمليات الجراحية للتقليل من التورم,يُستخدم مرتين إلى ثلاث مرات يومياً,يجب تجنب الاستخدام الطويل دون استشارة الطبيب
Hydrocolloid Dressing,Hydrocolloid,يُستخدم لعلاج التقرحات السريرية والقرح الناتجة عن الضغط لفترات طويلة,يتم تطبيقه مباشرة على الجرح المزمن,يجب استخدامه فقط على الجروح السطحية
تريامسينولون,Triamcinolone,كريم مضاد للالتهابات يستخدم لعلاج التقرحات الجلدية المزمنة,يتم استخدامه مرة يومياً على الجرح المزمن,يجب عدم استخدامه على الجروح المصابة
غسول بوفيدون اليود,Povidone-Iodine Solution,غسول يستخدم لتطهير الجروح الكبيرة أو التقرحات المزمنة,يتم استخدامه بشكل موضعي على الجرح مرتين يومياً,يجب تجنب استخدامه في حالة الحساسية لليود
فيتامين E,Vitamin E,يساعد في تقليل الندوب وتسريع شفاء الجروح,يُستخدم على الجرح بشكل موضعي مرة يومياً,يجب التأكد من عدم وجود حساسية للفيتامين
زيت شجرة الشاي,Tea Tree Oil,يحتوي على خصائص مضادة للبكتيريا ويساعد في علاج الجروح السطحية,يتم تطبيقه على الجرح بشكل موضعي مرة إلى مرتين يومياً,يجب التأكد من عدم وجود حساسية لزيت شجرة الشاي
جل هيالورونيك,Hyaluronic acid,يُستخدم لزيادة سرعة شفاء الجروح ويحسن تجديد الأنسجة,يتم تطبيقه على الجرح مرتين يومياً,قد يسبب تفاعلات مع بعض الأدوية
بيتا-غلوكان,Beta-glucan,يحفز جهاز المناعة ويسرع شفاء الجروح المزمنة,يتم تطبيقه على الجروح المزمنة مرة يومياً,يجب تجنب استخدامه في حالات الحساسية للمكونات
الكالسيوم وفيتامين D,Calcium & Vitamin D,يساعد في تقوية العظام ودعم صحة المفاصل,جرعة يومية حسب التوصية الطبية,يجب استشارة الطبيب قبل الاستخدام إذا كنت تعاني من مشاكل في الكلى أو في حالة الحمل
الجلوكوزامين,Glucosamine,يساعد في تقليل الألم وتحسين حركة المفاصل ودعم صحة الغضاريف,500mg ثلاث مرات يومياً,قد يسبب اضطراباً في المعدة في بعض الحالات- يجب استشارة الطبيب إذا كنت تعاني من حساسية للمحار
الكوندرويتين,Chondroitin,يدعم صحة الغضاريف في المفاصل ويقلل من الألم الناتج عن التهاب المفاصل,200mg مرتين يومياً,يجب استخدامه بحذر في حالة الحساسية للمكونات البحرية
MSM,Methylsulfonylmethane,يساعد في تقليل التهاب المفاصل وتحسين صحة الغضاريف,1000mg مرتين يومياً,قد يسبب آثاراً جانبية في الجهاز الهضمي في بعض الحالات
كولشيسين,Colchicine,يستخدم في علاج نوبات النقرس الحادة عن طريق تقليل الالتهاب والألم المصاحب له,يتم تحديد الجرعة وفقاً لشدة النوبة,يجب تجنب الاستخدام طويل المدى أو الجرعات الكبيرة لتقليل الآثار الجانبية
ألوبيورينول,Allopurinol,يُستخدم للحد من مستويات حمض اليوريك في الدم ويمنع نوبات النقرس المستقبلية,100mg إلى 300mg يومياً حسب التوصية الطبية,يجب تجنب استخدامه أثناء حدوث نوبة نقرس حادة. قد يسبب طفح جلدي في بعض الحالات
فبوكسوستات,Febuxostat,يخفض مستويات حمض اليوريك في الدم ويمنع نوبات النقرس المستقبلية,40mg إلى 80mg يومياً حسب التوصية الطبية,يجب مراقبة وظائف الكبد بانتظام أثناء العلاج
البيسفوسفونات,Alendronate, Risedronate, Ibandronate,تُستخدم لتقوية العظام وعلاج هشاشة العظام- حيث تمنع فقدان العظام,70mg مرة أسبوعياً,يجب تجنب الاستخدام في حالة وجود مشاكل في المريء أو المعدة
رينوكسيد,Calcium & Vitamin D,يعزز من صحة العظام والمفاصل,قرص يومياً,يجب استخدامه بحذر في حالة وجود حصوات في الكلى
فيتامين K2,Vitamin K2,يساعد في تنظيم الكالسيوم في الجسم ويعزز من قوة العظام,90mcg يومياً,يجب استشارة الطبيب في حالة استخدام أدوية مضادة للتجلط
بروبنسيد,Probenecid,يُستخدم لتحفيز الكلى لإزالة حمض اليوريك من الدم ويقلل من نوبات النقرس,500mg يومياً,يجب استخدامه بحذر في المرضى الذين يعانون من مشاكل في الكلى
توفاسيتينيب,Tofacitinib,يُستخدم في علاج التهاب المفاصل النقرسي عن طريق تثبيط بعض الإنزيمات المشاركة في الالتهاب,5mg مرتين يومياً,يجب تجنب استخدامه في الأشخاص الذين لديهم تاريخ من العدوى
بيكوراتين,Becoratene,علاج مكمل يستخدم لتحسين صحة المفاصل والحد من الألم الناتج عن النقرس,يتم تحديد الجرعة بناءً على استشارة الطبيب,قد يسبب ردود فعل تحسسية لدى بعض الأشخاص
إنالابريل,Enalapril,يستخدم لعلاج ارتفاع ضغط الدم وفشل القلب,5mg-40mg يومياً حسب التوجيه الطبي,يمكن أن يسبب دوخة أو نقص في ضغط الدم في بعض الحالات
ميتوبرولول,Metoprolol,يستخدم في علاج ارتفاع ضغط الدم وفشل القلب,25mg-100mg يومياً حسب التوجيه الطبي,يجب تجنب التوقف المفاجئ عن الدواء
هيدروكلوروثيازيد,Hydrochlorothiazide,يستخدم كمدر للبول في حالات ارتفاع ضغط الدم وفشل القلب,25mg-50mg يومياً حسب التوجيه الطبي,يمكن أن يسبب نقص البوتاسيوم في الدم
سالبوتامول,Salbutamol,موسع للشعب الهوائية في حالات الربو والحساسية,100-200mcg عند الحاجة,يجب عدم الإفراط في استخدامه
الميتفورمين,Metformin,يستخدم في علاج مرض السكري من النوع الثاني,500mg-2000mg يومياً حسب التوجيه الطبي,يمكن أن يسبب اضطراب في المعدة
فالبروات الصوديوم,Valproate,يستخدم في علاج الصرع والحالات العصبية,10mg-15mg لكل كيلوجرام من الوزن,يجب مراقبة مستويات الدم بانتظام
ميثوتريكسات,Methotrexate,يستخدم في علاج التهاب المفاصل الروماتويدي,7.5mg-25mg أسبوعياً حسب التوجيه الطبي,يجب مراقبة وظيفة الكبد بانتظام
الأملوديبين,Amlodipine,يستخدم لخفض ضغط الدم وعلاج الذبحة الصدرية,5-10 ملجم يومياً,يجب استشارة الطبيب إذا كان هناك تاريخ من أمراض القلب أو الكبد
اللوزارتان,Losartan,يستخدم لخفض ضغط الدم وعلاج أمراض القلب,50-100 ملجم يومياً,قد يسبب دوخة في بداية العلاج
الكلورثاليدون,Chlorthalidone,مدر للبول يستخدم في علاج ارتفاع ضغط الدم,12.5-25 ملجم يومياً,يجب مراقبة مستويات البوتاسيوم في الدم
إكسيناتيد,Exenatide,يستخدم لخفض مستوى السكر في الدم,5-10 ميكروغرام مرتين يومياً,يمكن أن يسبب غثيان في بعض الحالات
سيتاجليبتين,Sitagliptin,يستخدم لتحسين التحكم في مستوى السكر في الدم,100 ملجم يومياً,يمكن أن يسبب دوار وصداع
بريدويسولون,Prednisolone,يستخدم لتقليل الالتهابات في حالات الربو والذئبة,5-40 ملجم يومياً حسب الحاجة,يجب استخدامه بحذر لتجنب الآثار الجانبية للأدوية الستيرويدية
سالميترول,Salmeterol,موسع للشعب الهوائية طويل المدى يستخدم في علاج الربو,50 ميكروغرام مرتين يومياً,يجب تجنب الإفراط في الاستخدام
فوروسيميد,Furosemide,مدر للبول يستخدم في علاج قصور القلب الاحتقاني وارتفاع ضغط الدم,20-80 ملجم يومياً,يجب مراقبة مستويات البوتاسيوم والوظائف الكلوية
كارفيدلول,Carvedilol,حاصرات بيتا تُستخدم لعلاج ارتفاع ضغط الدم وفشل القلب,6.25-25 ملجم يومياً,يجب تجنب التوقف المفاجئ عن تناوله
غليبيزيد,Glyburide,من فئة السلفونيل يوريا- يُستخدم لخفض مستوى السكر في الدم لدى مرضى السكري من النوع الثاني,2.5-10 ملجم يومياً,قد يسبب انخفاضًا حادًا في مستوى السكر في الدم
داباجليفلوزين,Dapagliflozin,مثبطات SGLT2 تُستخدم في علاج السكري من النوع الثاني,5-10 ملجم يومياً,قد يزيد من خطر الإصابة بالتهاب المسالك البولية
بوديزونيد,Budesonide,كورتيكوستيرويد يُستخدم في علاج التهاب الربو,200-800 ميكروغرام مرتين يومياً,يجب تجنب الإفراط في الاستخدام لتفادي الآثار الجانبية
تيوفيلين,Theophylline,موسع للشعب الهوائية يُستخدم في علاج الربو ومرض الانسداد الرئوي المزمن,200-400 ملجم يومياً,يجب مراقبة مستويات الدواء في الدم لتجنب التسمم
كلوفازيمين,Clofazimine,يُستخدم في علاج الالتهابات الجلدية وحالات مثل التهاب المفاصل الروماتويدي,100-300 ملجم يومياً,قد يسبب تغيرات في لون الجلد
توسيليزوماب,Tocilizumab,دواء بيولوجي يُستخدم في علاج التهاب المفاصل الروماتويدي والذئبة,يُعطى عن طريق الحقن كل أسبوعين,يجب مراقبة العدوى والأعراض الجانبية المتعلقة بالجهاز المناعي
